"sentiment","avg_noun_sentiment","avg_verb_sentiment","avg_adverb_sentiment","avg_adjective_sentiment","avg_na_sent","avg_tot_sent","last_punctuation","comma_count","._count","X._count","X._count.1"
0,0.00516183035714286,0,0,0,0,0.00516183035714286,"?",1,0,0,0
0,0.06640625,0,0,0,0,0.06640625,"",0,0,0,0
0,0.037261962890625,0,0,0.0537109375,0,0.0413742065429688,"",0,0,0,0
0,0,0,0,0.08203125,0,0.0615234375,"?",1,0,0,0
0,-0.0553131103515625,0,0,0,0,-0.0414848327636719,"",0,0,0,0
0,0.107779546507767,-0.354166666666667,0,0.0425558090209961,-0.03125,0.0102564485536681,"",0,0,0,0
0,0,0,0,0,0,0,"?",1,0,0,0
0,0.0416666666666667,0,0,0,0,0.0416666666666667,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,-0.0416552225748698,0,0.09375,-0.0625,0,-0.0260359446207682,"",0,0,0,0
0,0.000508824984232567,-0.1875,0,0,0,-0.0746947050094605,"?",1,0,0,0
0,-0.000324242766769876,0,0,0.0608723958333333,0,0.0150019371138201,"?",1,0,1,0
0,0.2880859375,0,0,-0.000579833984375,0,0.143753051757812,"?",1,0,0,0
0,0,0,0,0,0,0,"?",1,0,0,0
0.5,0,0,0,-0.15625,0,-0.078125,"",0,0,0,0
0,0,0,0,0,0,0,"!",0,0,0,12
0,0,0,0,0,0,0,"?",1,0,0,0
0.5,0.13307586312294,0,0,0,0,0.13307586312294,"",0,0,0,0
0,0.0316163897226715,0,0,-0.236358642578125,0,-0.0577086210442606,"",0,0,0,0
0,-0.0001220703125,0,0,0.0048828125,0,0.0018798828125,"?",1,0,0,0
0,-0.0507726967334747,0,0,-0.0202932357788085,0,-0.0406128764152527,"?",2,0,0,0
0,0.128906264923444,0,0,-0.00813802083333333,0,0.0466796934693776,"?",2,0,0,0
0,0,0,0,0.0546875,0,0.02734375,"",0,0,0,0
